,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
63,N03-1033,0.21212121212121213,0.14893617021276595,0.175,0.03076923076923077,0.021505376344086023,0.025316455696202535,0.13636363636363635,0.09574468085106383,0.11249999999999999
64,W99-0625,1.0,0.029463500439753737,0.0572404955147373,0.9473684210526315,0.027710578403342862,0.05384615384615384,0.6940298507462687,0.020448548812664908,0.03972661255873559
65,P95-1037,0.42857142857142855,0.1746031746031746,0.24812030075187966,0.05263157894736842,0.02127659574468085,0.030303030303030304,0.23376623376623376,0.09523809523809523,0.13533834586466167
66,W03-1008,0.13636363636363635,0.28846153846153844,0.18518518518518517,0.009174311926605505,0.0196078431372549,0.0125,0.06363636363636363,0.1346153846153846,0.08641975308641975
67,E06-1027,0.44565217391304346,0.21025641025641026,0.2857142857142857,0.17582417582417584,0.08247422680412371,0.11228070175438595,0.33695652173913043,0.15897435897435896,0.21602787456445993
68,P05-1066,0.4805194805194805,0.25874125874125875,0.33636363636363636,0.17105263157894737,0.09154929577464789,0.11926605504587157,0.24675324675324675,0.13286713286713286,0.17272727272727273
69,W97-0713,0.9596330275229358,0.9095652173913044,0.9339285714285714,0.9356617647058824,0.8867595818815331,0.9105545617173525,0.9504587155963303,0.9008695652173913,0.9249999999999999
70,J90-1003,0.46846846846846846,0.1897810218978102,0.2701298701298701,0.10909090909090909,0.04395604395604396,0.06266318537859009,0.23423423423423423,0.0948905109489051,0.13506493506493505
71,P96-1027,1.0,0.030704815073272853,0.05958023019634393,0.9770114942528736,0.029668411867364748,0.057588075880758816,0.9772727272727273,0.030006978367062107,0.05822613405551795
72,P05-1059,0.2857142857142857,0.1724137931034483,0.21505376344086022,0.058823529411764705,0.03508771929824561,0.04395604395604395,0.2,0.1206896551724138,0.15053763440860216
73,P10-1040,0.3235294117647059,0.21568627450980393,0.2588235294117647,0.0,0.0,0.0,0.17647058823529413,0.11764705882352941,0.1411764705882353
74,W07-2012,0.2692307692307692,0.10606060606060606,0.15217391304347827,0.04,0.015384615384615385,0.022222222222222223,0.2692307692307692,0.10606060606060606,0.15217391304347827
75,N04-1042,0.3924050632911392,0.21379310344827587,0.2767857142857143,0.16666666666666666,0.09027777777777778,0.11711711711711713,0.21518987341772153,0.11724137931034483,0.15178571428571427
76,J90-1004,0.9137931034482759,0.6794871794871795,0.7794117647058824,0.8596491228070176,0.6363636363636364,0.7313432835820897,0.5172413793103449,0.38461538461538464,0.4411764705882353
77,P06-1085,0.2625,0.2413793103448276,0.25149700598802394,0.02531645569620253,0.023255813953488372,0.024242424242424242,0.1125,0.10344827586206896,0.10778443113772455
78,P01-1064,0.25396825396825395,0.23529411764705882,0.24427480916030533,0.16129032258064516,0.14925373134328357,0.15503875968992248,0.1746031746031746,0.16176470588235295,0.16793893129770993
79,H05-1004,0.34408602150537637,0.25196850393700787,0.29090909090909095,0.06521739130434782,0.047619047619047616,0.055045871559633024,0.21505376344086022,0.15748031496062992,0.18181818181818185
80,W98-1411,0.42,0.3181818181818182,0.3620689655172414,0.1836734693877551,0.13846153846153847,0.15789473684210525,0.26,0.19696969696969696,0.22413793103448273
81,J93-2005,0.6842105263157895,0.287292817679558,0.4046692607003891,0.49333333333333335,0.20555555555555555,0.2901960784313725,0.4342105263157895,0.18232044198895028,0.2568093385214008
82,P05-1057,0.3125,0.3048780487804878,0.30864197530864196,0.06329113924050633,0.06172839506172839,0.0625,0.175,0.17073170731707318,0.17283950617283952
83,P02-1042,0.3917525773195876,0.36538461538461536,0.3781094527363184,0.0625,0.05825242718446602,0.06030150753768845,0.18556701030927836,0.17307692307692307,0.17910447761194032
84,W07-2216,0.19230769230769232,0.18518518518518517,0.18867924528301885,0.025974025974025976,0.025,0.025477707006369428,0.1282051282051282,0.12345679012345678,0.12578616352201258
85,W98-0705,0.2777777777777778,0.18181818181818182,0.2197802197802198,0.028169014084507043,0.01834862385321101,0.022222222222222223,0.16666666666666666,0.10909090909090909,0.13186813186813187
86,D09-1005,0.43548387096774194,0.20930232558139536,0.28272251308900526,0.08196721311475409,0.0390625,0.05291005291005291,0.1774193548387097,0.08527131782945736,0.11518324607329844
87,P09-1094,0.2289156626506024,0.2,0.2134831460674157,0.024390243902439025,0.02127659574468085,0.022727272727272728,0.1566265060240964,0.1368421052631579,0.14606741573033707
88,P06-2094,0.41025641025641024,0.13008130081300814,0.19753086419753088,0.10526315789473684,0.03278688524590164,0.05,0.3076923076923077,0.0975609756097561,0.14814814814814817
89,C94-1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,W04-1013,0.34285714285714286,0.24242424242424243,0.28402366863905326,0.10144927536231885,0.07142857142857142,0.08383233532934131,0.17142857142857143,0.12121212121212122,0.14201183431952663
91,W04-1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,W03-1006,0.25,0.20634920634920634,0.22608695652173913,0.0,0.0,0.0,0.1346153846153846,0.1111111111111111,0.1217391304347826
93,P88-1012,0.4578313253012048,0.5757575757575758,0.5100671140939598,0.34146341463414637,0.4307692307692308,0.38095238095238093,0.3493975903614458,0.4393939393939394,0.389261744966443
94,P09-1058,0.2796610169491525,0.25984251968503935,0.2693877551020408,0.11965811965811966,0.1111111111111111,0.11522633744855966,0.16101694915254236,0.14960629921259844,0.15510204081632656
95,E06-1011,0.17721518987341772,0.16279069767441862,0.1696969696969697,0.01282051282051282,0.011764705882352941,0.012269938650306747,0.0759493670886076,0.06976744186046512,0.07272727272727272
96,J93-2002,0.6666666666666666,0.39520958083832336,0.4962406015037593,0.5510204081632653,0.3253012048192771,0.409090909090909,0.36363636363636365,0.2155688622754491,0.27067669172932335
97,W02-0603,0.33783783783783783,0.25773195876288657,0.29239766081871343,0.0547945205479452,0.041666666666666664,0.04733727810650888,0.16216216216216217,0.12371134020618557,0.14035087719298245
98,P96-1011,0.3469387755102041,0.17346938775510204,0.2312925170068027,0.08333333333333333,0.041237113402061855,0.05517241379310345,0.1836734693877551,0.09183673469387756,0.12244897959183672
99,P88-1015,0.26229508196721313,0.21052631578947367,0.23357664233576644,0.0,0.0,0.0,0.18032786885245902,0.14473684210526316,0.16058394160583944
100,P08-1115,0.2247191011235955,0.24691358024691357,0.23529411764705882,0.011363636363636364,0.0125,0.011904761904761906,0.15730337078651685,0.1728395061728395,0.16470588235294117
101,J08-1002,1.0,0.25572519083969464,0.40729483282674767,0.9696969696969697,0.24521072796934865,0.3914373088685015,0.8208955223880597,0.2099236641221374,0.33434650455927045
102,D07-1103,0.22580645161290322,0.175,0.1971830985915493,0.03278688524590164,0.02531645569620253,0.02857142857142857,0.1774193548387097,0.1375,0.15492957746478875
103,P06-1014,0.3942307692307692,0.4939759036144578,0.4385026737967914,0.1262135922330097,0.15853658536585366,0.14054054054054055,0.20192307692307693,0.25301204819277107,0.22459893048128343
104,W09-1105,0.3873239436619718,0.5555555555555556,0.4564315352697096,0.19148936170212766,0.2755102040816326,0.22594142259414227,0.20422535211267606,0.29292929292929293,0.24066390041493776
105,D07-1104,0.38636363636363635,0.13709677419354838,0.20238095238095236,0.13953488372093023,0.04878048780487805,0.07228915662650602,0.25,0.08870967741935484,0.13095238095238096
106,P99-1065,0.2890625,0.45121951219512196,0.3523809523809524,0.15748031496062992,0.24691358024691357,0.1923076923076923,0.1640625,0.25609756097560976,0.19999999999999998
107,N07-1030,0.26262626262626265,0.30952380952380953,0.2841530054644809,0.04081632653061224,0.04819277108433735,0.04419889502762431,0.1111111111111111,0.13095238095238096,0.12021857923497267
108,C02-1145,0.1791044776119403,0.2222222222222222,0.1983471074380165,0.015151515151515152,0.018867924528301886,0.016806722689075633,0.1044776119402985,0.12962962962962962,0.11570247933884298
109,W07-0718,0.4146341463414634,0.3469387755102041,0.37777777777777777,0.07407407407407407,0.061855670103092786,0.06741573033707865,0.2682926829268293,0.22448979591836735,0.24444444444444444
110,P96-1042,0.6346153846153846,0.21568627450980393,0.3219512195121952,0.19607843137254902,0.06578947368421052,0.09852216748768472,0.2692307692307692,0.0915032679738562,0.13658536585365852
111,E06-1042,0.4878048780487805,0.2857142857142857,0.36036036036036034,0.1728395061728395,0.10071942446043165,0.12727272727272726,0.24390243902439024,0.14285714285714285,0.18018018018018017
112,W99-0623,0.17333333333333334,0.203125,0.18705035971223022,0.02702702702702703,0.031746031746031744,0.029197080291970802,0.10666666666666667,0.125,0.11510791366906474
