,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
54,W09-0441,0.44144144144144143,0.2512820512820513,0.32026143790849676,0.08181818181818182,0.04639175257731959,0.05921052631578948,0.24324324324324326,0.13846153846153847,0.17647058823529413
55,W00-1427,0.4180327868852459,0.51,0.4594594594594595,0.18181818181818182,0.2222222222222222,0.19999999999999998,0.2459016393442623,0.3,0.2702702702702703
56,W97-0313,0.4666666666666667,0.13270142180094788,0.2066420664206642,0.1864406779661017,0.05238095238095238,0.08178438661710037,0.31666666666666665,0.09004739336492891,0.14022140221402213
57,E06-1043,0.3,0.17073170731707318,0.21761658031088085,0.028985507246376812,0.01639344262295082,0.020942408376963352,0.2,0.11382113821138211,0.14507772020725387
58,W97-0119,0.2619047619047619,0.15827338129496402,0.19730941704035876,0.060240963855421686,0.036231884057971016,0.04524886877828054,0.14285714285714285,0.08633093525179857,0.10762331838565022
59,P06-1015,0.3137254901960784,0.08247422680412371,0.13061224489795917,0.06,0.015544041450777202,0.024691358024691357,0.1568627450980392,0.041237113402061855,0.06530612244897958
60,J07-2003,0.75,0.24161073825503357,0.3654822335025381,0.5957446808510638,0.1891891891891892,0.28717948717948716,0.5833333333333334,0.18791946308724833,0.28426395939086296
61,N04-1019,0.3188405797101449,0.2222222222222222,0.2619047619047619,0.08823529411764706,0.061224489795918366,0.07228915662650602,0.17391304347826086,0.12121212121212122,0.14285714285714288
62,C04-1024,0.3424657534246575,0.27472527472527475,0.3048780487804878,0.09722222222222222,0.07777777777777778,0.08641975308641976,0.1917808219178082,0.15384615384615385,0.17073170731707318
63,N03-1033,0.19696969696969696,0.10483870967741936,0.13684210526315788,0.015384615384615385,0.008130081300813009,0.010638297872340427,0.15151515151515152,0.08064516129032258,0.10526315789473684
64,W99-0625,0.373134328358209,0.36764705882352944,0.3703703703703704,0.03759398496240601,0.037037037037037035,0.03731343283582089,0.13432835820895522,0.1323529411764706,0.1333333333333333
65,P95-1037,0.4805194805194805,0.15163934426229508,0.23052959501557635,0.05263157894736842,0.01646090534979424,0.025078369905956112,0.23376623376623376,0.07377049180327869,0.11214953271028039
66,W03-1008,0.15454545454545454,0.2361111111111111,0.18681318681318682,0.009174311926605505,0.014084507042253521,0.011111111111111112,0.07272727272727272,0.1111111111111111,0.08791208791208792
67,E06-1027,0.4673913043478261,0.16731517509727625,0.2464183381088825,0.18681318681318682,0.06640625,0.09798270893371759,0.3695652173913043,0.13229571984435798,0.19484240687679083
68,P05-1066,0.4805194805194805,0.18137254901960784,0.2633451957295374,0.17105263157894737,0.06403940886699508,0.0931899641577061,0.2857142857142857,0.10784313725490197,0.15658362989323846
